172.23.0.1 - - [17/Aug/2017:15:51:19 +0000] "GET /wp-content/plugins/woocommerce/assets/js/jquery-blockui/jquery.blockUI.min.js?ver=2.70 HTTP/1.1" 200 3884 "http://localhost/shop/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.90 Safari/537.36"
172.23.0.1 - - [17/Aug/2017:15:51:19 +0000] "GET /wp-content/plugins/woocommerce/assets/js/js-cookie/js.cookie.min.js?ver=2.1.4 HTTP/1.1" 200 1330 "http://localhost/shop/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.90 Safari/537.36"
172.23.0.1 - - [17/Aug/2017:15:51:19 +0000] "GET /wp-content/plugins/woocommerce/assets/js/frontend/woocommerce.min.js?ver=3.1.2 HTTP/1.1" 200 639 "http://localhost/shop/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.90 Safari/537.36"
172.23.0.1 - - [17/Aug/2017:15:51:19 +0000] "GET /wp-content/plugins/woocommerce/assets/js/frontend/cart-fragments.min.js?ver=3.1.2 HTTP/1.1" 200 1268 "http://localhost/shop/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.90 Safari/537.36"
172.23.0.1 - - [17/Aug/2017:15:51:19 +0000] "GET /wp-content/uploads/2013/06/hoodie_4_front.jpg HTTP/1.1" 200 83111 "http://localhost/shop/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.90 Safari/537.36"
172.23.0.1 - - [17/Aug/2017:15:51:19 +0000] "GET /wp-content/uploads/2013/06/T_5_front.jpg HTTP/1.1" 200 77200 "http://localhost/shop/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.90 Safari/537.36"
172.23.0.1 - - [17/Aug/2017:15:51:19 +0000] "GET /wp-content/uploads/2013/06/hoodie_5_front.jpg HTTP/1.1" 200 82536 "http://localhost/shop/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.90 Safari/537.36"
172.23.0.1 - - [17/Aug/2017:15:51:19 +0000] "GET /wp-content/uploads/2013/06/T_7_front.jpg HTTP/1.1" 200 88081 "http://localhost/shop/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.90 Safari/537.36"
172.23.0.1 - - [17/Aug/2017:15:51:19 +0000] "GET /wp-content/uploads/2013/06/poster_2_up.jpg HTTP/1.1" 200 57403 "http://localhost/shop/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.90 Safari/537.36"
172.23.0.1 - - [17/Aug/2017:15:51:19 +0000] "GET /wp-content/uploads/2013/06/hoodie_3_front.jpg HTTP/1.1" 200 90251 "http://localhost/shop/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.90 Safari/537.36"
172.23.0.1 - - [17/Aug/2017:15:51:19 +0000] "GET /wp-content/uploads/2013/06/T_2_front.jpg HTTP/1.1" 200 94370 "http://localhost/shop/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.90 Safari/537.36"
172.23.0.1 - - [17/Aug/2017:15:51:19 +0000] "GET /wp-content/uploads/2013/06/hoodie_7_front.jpg HTTP/1.1" 200 92214 "http://localhost/shop/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.90 Safari/537.36"
172.23.0.1 - - [17/Aug/2017:15:51:19 +0000] "GET /wp-content/uploads/2013/06/poster_3_up.jpg HTTP/1.1" 200 66827 "http://localhost/shop/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.90 Safari/537.36"
172.23.0.1 - - [17/Aug/2017:15:51:19 +0000] "GET /wp-content/plugins/woocommerce/assets/css/woocommerce-smallscreen.css?ver=3.1.2 HTTP/1.1" 200 1405 "http://localhost/shop/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.90 Safari/537.36"
172.23.0.1 - - [17/Aug/2017:15:51:19 +0000] "GET /wp-content/uploads/2013/06/T_4_front.jpg HTTP/1.1" 200 88905 "http://localhost/shop/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.90 Safari/537.36"
172.23.0.1 - - [17/Aug/2017:15:51:19 +0000] "GET /wp-content/plugins/woocommerce/assets/fonts/star.woff HTTP/1.1" 200 1601 "http://localhost/wp-content/plugins/woocommerce/assets/css/twenty-seventeen.css?ver=3.1.2" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.90 Safari/537.36"
172.23.0.1 - - [17/Aug/2017:15:51:19 +0000] "GET /favicon.ico HTTP/1.1" 200 228 "http://localhost/shop/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.90 Safari/537.36"
127.0.0.1 - - [17/Aug/2017:15:51:26 +0000] "OPTIONS * HTTP/1.0" 200 126 "-" "Apache/2.4.10 (Debian) PHP/5.6.31 (internal dummy connection)"
127.0.0.1 - - [17/Aug/2017:15:51:27 +0000] "OPTIONS * HTTP/1.0" 200 126 "-" "Apache/2.4.10 (Debian) PHP/5.6.31 (internal dummy connection)"
127.0.0.1 - - [17/Aug/2017:15:51:28 +0000] "OPTIONS * HTTP/1.0" 200 126 "-" "Apache/2.4.10 (Debian) PHP/5.6.31 (internal dummy connection)"
127.0.0.1 - - [17/Aug/2017:15:51:29 +0000] "OPTIONS * HTTP/1.0" 200 126 "-" "Apache/2.4.10 (Debian) PHP/5.6.31 (internal dummy connection)"
